s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99,s100,s101,s102,s103,s104,s105,s106,s107,s108,s109,s110,s111,s112,s113,s114,s115,s116,s117,s118,s119,s120,s121,s122,s123,s124,s125,s126,s127,s128,s129,s130,s131,s132,s133,s134,s135,s136,s137,s138,s139,s140,s141,s142,s143,s144,s145,s146,s147,s148,s149,s150,s151,s152,s153,s154,s155,s156,s157,s158,s159,s160,s161,s162,s163,s164,s165,s166,s167,s168,s169,s170,s171,s172,s173,s174,s175,s176,s177,s178,s179,s180,s181,s182,s183,s184,s185,s186,s187,s188,s189,s190,s191,s192,s193,s194,s195,s196,s197,s198,s199,s200,s201,s202,s203,s204,s205,s206,s207,s208,s209,s210,s211,s212,s213,s214,s215,s216,s217,s218,s219,s220,s221,s222,s223,s224,s225,s226,s227,s228,s229,s230,s231,s232,s233,s234,s235,s236,s237,s238,s239,s240,s241,s242,s243,s244,s245,s246,s247,s248,s249,s250,s251,s252,s253,s254,s255,s256,s257,s258,s259,s260,s261,s262,s263,s264,s265,s266,s267,s268,s269,s270,s271,s272,s273,s274,s275,s276,s277,s278,s279,s280,s281,s282,s283,s284,s285,s286,s287,s288,s289,s290,s291,s292,s293,s294,s295,s296,s297,s298,s299,s300,s301,s302,s303,s304,s305,s306,s307,s308,s309,s310,s311,s312,s313,s314,s315,s316,s317,s318,s319,s320,s321,s322,s323,s324,s325,s326,s327,s328,s329,s330,s331,s332,s333,s334,s335,s336,s337,s338,s339,s340,s341,s342,s343,s344,s345,s346,s347,s348,s349,s350,s351,s352,s353,s354,s355,s356,s357,s358,s359,s360,s361,s362,s363,s364,s365,s366,s367,s368,s369
43149,62352,8336,9876,24981,21140,58769,62609,26512,2450,62097,44691,8852,37777,50579,15252,13971,64657,31122,21909,15510,17302,50068,47765,37781,19863,11927,17815,51861,58007,57749,19604,49045,8087,63124,53396,46485,25491,62100,6549,34966,56725,35991,39574,39062,16792,9623,3223,63127,19352,3479,1942,38550,56470,8857,46229,44694,63381,41880,21654,64660,46741,61589,13205,56597,2449,53908,51349,30357,11156,9110,1174,23957,27798,37268,28054,27029,19350,55189,48277,663,30358,60565,27542,28822,49556,49557,23701,17301,64148,38551,37781,49300,59795,60563,35990,17815,1942,24213,8853,63127,24471,48790,8599,42135,33174,1941,52116,42389,36245,33941,11157,24213,25493,43669,61588,5780,41874,29844,30612,49299,41877,39828,61332,50836,59283,26515,55442,27540,18324,24216,21143,13719,64662,47510,20627,10132,65171,53907,51347,51092,7321,4757,44693,61589,65173,11157,9366,6556,33176,19602,14481,54414,4241,47761,49549,21647,910,33166,38541,13965,24461,35472,20368,49295,50068,44689,1683,5269,21138,31377,49298,28308,35728,42896,38033,40593,6287,7312,39056,10131,48788,6036,36241,37012,5270,59283,27791,38802,39572,16540,17555,60056,46996,24211,20628,35,31123,4501,29332,35982,60303,56716,61069,401,17552,52359,9358,29578,61838,11665,46990,48783,62605,28559,45455,17040,61075,59282,64657,43410,46739,36749,55700,36500,24216,36243,26263,3208,35719,37009,14229,7315,21901,17298,17039,17297,22141,8591,59792,3792,15575,32464,26319,36565,56504,18368,50374,11211,26573,59840,51649,56784,17883,5058,37302,14523,49855,34761,54989,460,42949,34001,64718,32709,62660,54728,19911,48841,40887,31684,57029,17592,49866,2771,38335,5838,14037,8638,11470,24009,59327,44736,3289,59078,8401,11981,51920,29384,10708,31446,47315,21213,61130,27085,724,9684,740,64731,56283,60112,33760,10952,14280,460,51135,58063,55262,20176,43727,8919,57801,18900,13018,62661,31686,52682,49102,60531,28297,5315,59338,64974,48067,36813,39381,30661,45259,21202,6086,57541,31432,10687,15062,46287,50896,25561,49622,33745,36820,13023,33247,62680,5599,46801,38103,42460,22954,31336,20554,41169,37590,60878,26054,62914,38775,58267,3011,0,2336,0,976,0,3905,3554,3731,29995,3072,48
38029,58000,14224,17556,27285,15508,54929,402,28560,64913,52369,41619,16788,40849,48275,13204,20627,7058,31634,17301,12182,22166,49812,41365,30101,21655,15511,15511,42901,55959,53397,12436,49557,15255,149,50580,44181,32915,1685,7061,28054,56725,41367,41110,33174,13208,12695,8599,62103,12184,1431,8342,44694,53142,3225,48533,49302,61845,32408,15254,65428,49813,62101,18325,57877,60560,45716,49045,33685,11924,4502,1686,30101,33430,35220,25238,34709,25750,53909,39061,62358,32918,150,23190,19862,49300,55701,28565,14997,63892,46487,44181,48788,52883,148,31894,16535,4758,29845,5781,53399,19607,51606,11671,36759,28054,4501,60308,47765,33941,34197,17045,27797,22933,33685,56724,8340,41874,22676,20628,52371,47509,41876,55956,49300,4500,25235,62098,31892,23700,20888,19863,18327,4759,44694,14227,5268,1940,55443,46739,47508,10137,12437,46229,62101,65173,17045,12694,65435,25752,20114,16273,53390,65424,41361,51597,25743,910,37518,38797,7821,20877,39568,26512,49295,49556,45713,8851,6549,16274,25745,51602,33428,35216,41104,34961,45201,13967,6544,35216,10643,52884,6548,35217,33172,7830,61587,26255,32402,36244,11420,12435,59032,51092,21139,14228,3922,34707,8853,29332,32910,60815,63372,64397,64912,14224,52103,13710,28298,59278,11153,48782,51855,60813,24463,49551,24464,65171,55954,61073,46226,48787,40589,60564,38548,21400,34195,26519,3720,34695,33425,13205,8083,21133,15506,18063,20625,29309,10895,55952,65231,23511,44240,26575,33493,47544,17856,64710,6859,9677,57280,62657,56528,17627,60097,40374,33467,44991,24521,52685,11468,47301,37329,51662,22213,8645,53704,5575,45769,43447,16068,52933,30904,59338,50130,33727,10190,15573,14014,2510,19913,5312,51904,62168,53446,6865,18893,58064,17608,6100,44502,54483,14301,52426,21197,9940,8404,50915,53467,65243,4561,32480,13256,21192,58571,42943,2000,57054,26576,28367,2775,970,33236,1498,56261,36806,55498,59342,54899,16777,10947,7371,55502,33731,35789,35541,42437,34763,18386,7878,5318,25288,6591,9686,41167,40656,29657,60886,32209,24276,14047,33247,6361,3295,34769,42199,59612,23210,29032,18250,43217,47318,56782,16326,62146,41847,61852,3011,0,2336,0,976,0,3905,3554,4,30251,3072,112
52365,3473,11152,10900,21909,14228,51089,56465,20368,146,59281,44691,13972,43665,59795,23188,21395,4242,32146,20885,8854,10646,41876,42389,33173,16791,11415,22679,58261,1944,56469,14996,49301,12439,2709,63380,53909,30867,63124,7829,32662,51093,30103,34710,33686,12952,9879,5271,664,26264,9111,8598,43414,60566,8345,43413,37014,56469,31128,16790,60308,45205,56981,6293,49173,60560,49300,47509,30869,13460,14998,9366,32661,34710,41108,28310,29077,15510,49301,40085,61334,24982,59285,27286,32150,55188,58261,32917,22421,1429,38551,34197,43412,52627,64659,37014,18071,63381,18837,2453,55447,18839,45206,9623,45207,37270,10133,58260,49045,41877,36245,10133,20629,19349,38037,52628,64915,39058,30612,32660,56467,47765,47252,1685,53908,63123,33171,62610,31124,23700,28312,19607,8855,59030,42134,15507,2964,60051,55955,51091,55444,13465,12181,50837,4246,1942,10133,6294,62619,27800,15506,8849,51854,3729,48273,54413,27279,6286,31118,38797,15245,27789,42640,26512,53647,54420,45457,65170,3221,17554,24465,46226,23700,33936,46224,41105,47761,14479,13968,43408,13971,49812,3220,33937,32148,1174,53139,24719,35474,40084,11676,11923,56216,45204,20627,19604,147,34707,10133,35220,40078,63119,59276,62605,63376,13456,47495,7566,24458,62862,10641,48526,52367,2446,34703,50575,21136,62355,57234,61841,40338,41619,39565,55700,34708,20632,29843,22679,1672,32647,37009,15509,8851,24973,20882,22927,19601,25725,10639,59280,12752,20695,36816,22479,34005,60344,18368,44742,8651,23757,59072,53953,52432,21211,7618,42934,18875,48319,30665,56525,65483,33989,36817,59086,27333,63940,52168,18631,56009,47287,29636,55493,20408,48330,60370,47807,7886,11477,12478,10958,20425,61375,41408,63448,62406,7889,7117,52176,26568,10964,41430,49107,19933,59850,30925,60883,9684,62435,57307,60123,55248,34016,63943,16584,63691,49855,62159,49118,18384,48335,15319,59337,24532,10202,61381,34758,50890,44494,61043,23433,7107,57290,59854,43203,45773,34773,35525,47051,24018,7878,60613,28360,7871,20438,46799,52176,25817,51158,31185,30420,16607,30431,61400,6111,46033,40919,52956,17066,29544,19018,40145,34262,59598,19910,62914,36471,55453,3011,0,2336,0,976,0,3905,3554,132,30507,3072,112
51085,145,13456,15508,26261,11924,47505,58257,19856,914,55697,43923,14740,45201,58515,18324,21651,8338,33170,16277,5270,11670,47252,41365,28053,17559,17815,23703,54165,62103,54677,15508,50581,16791,5781,60052,52117,29843,63892,9621,28822,52373,30359,34966,30102,9880,9879,8343,5016,22680,6551,9366,48022,59286,5785,41365,41110,59541,29848,11670,58004,48277,52373,11413,52245,58256,49556,46229,38037,17556,13462,5782,33685,37270,40596,24214,24213,16022,49557,38549,57750,29846,63125,28822,28822,55956,59285,34709,20629,63380,37783,34709,44948,53395,3476,36246,15255,60565,22933,2197,53655,16535,48790,13719,45463,34710,8853,61076,51093,39829,30613,10133,23445,20629,32917,51092,1428,44434,29844,28308,57747,52373,49556,65428,48788,59283,29843,62098,35988,27028,24472,17303,10903,63126,41878,10131,1940,63635,59283,51091,51860,12185,15765,53909,1174,406,9877,8086,156,21656,13714,8337,55438,1169,45201,56205,30095,9870,35726,42125,14477,27789,40336,30864,54927,54164,43921,1939,3221,16530,23697,44690,27540,37520,42640,40081,46737,17807,9872,42896,11155,51604,5780,32913,30100,150,55187,24975,36242,36500,11932,10131,55192,47764,24467,19092,4050,37011,14229,33940,37518,61583,59020,62605,60304,11408,46471,12174,27018,62350,10385,50062,55695,3214,30607,50319,22672,64659,54674,56977,38290,44179,38541,57492,35988,19096,30355,23703,1672,34695,35729,14741,11923,25997,20626,19599,18065,26237,9871,58000,2000,23255,29904,40143,24789,51128,17600,55238,13515,11725,58304,52417,63696,15835,5314,40118,27835,52927,24265,51149,460,52677,28369,59086,19141,58308,1993,12743,46793,41399,14532,55749,12728,4811,54994,40127,64973,22997,13246,8910,21449,51135,64192,61144,59334,465,16845,50128,30408,12500,28118,61139,16093,56522,18125,6100,7380,65507,55515,49115,2769,35808,5832,20936,57803,48319,48591,61662,27088,37583,11735,63177,32724,8666,198,24262,61642,53198,56435,16009,7875,459,63182,42435,33229,46549,38085,47307,16594,3014,454,33992,9151,2006,46287,45520,16089,56278,37585,28884,4831,34015,217,14815,41425,36311,53468,30890,33896,16714,40657,34774,62670,23238,59330,32375,56222,3011,0,2336,0,976,0,3905,3554,564,30763,3072,112
48781,1425,10896,9876,20885,12180,48529,53649,18320,64657,60305,44691,14228,40081,61075,21396,19859,1170,27282,15765,4758,6806,37524,37269,30613,16279,10903,18839,55189,64151,55701,18068,49813,13975,4501,60564,53397,29075,60564,2965,29078,49557,24983,32662,29334,12952,6807,3479,920,26520,9879,5782,37782,53654,4249,38549,31126,49045,28824,14486,54420,42901,52629,5269,48405,59792,49044,46997,31893,17300,15766,7830,28821,30870,34708,23958,22933,9110,44437,38549,60310,26518,58517,26518,30614,56468,55445,25749,17557,59284,34711,29845,38036,46483,62611,34710,14743,58005,16277,64660,56727,18071,45462,9879,44439,37782,9365,58516,46229,37525,32149,5781,16533,16021,31893,51604,63379,36498,28052,29844,52883,45205,45204,60820,49044,54675,32915,60818,30356,22420,24728,18327,9111,58006,38806,11411,3476,61587,53907,50579,54676,12185,10901,49557,64661,63637,6037,1430,59291,23704,12434,5521,49806,145,44689,49549,24975,2446,33422,42125,15245,29837,40848,25744,51087,52884,44177,64658,63892,12946,23185,45202,24724,31632,45456,42129,44433,14223,10896,40848,8851,45460,62099,26769,25492,62101,51603,21135,33170,37012,7068,11155,54424,44180,21651,20116,259,35731,9365,32148,38030,58511,55692,57485,57744,11920,41351,6286,24714,61070,9105,47502,50831,1934,31119,46735,16784,56979,51090,56977,35986,39315,37773,53140,32916,18328,30867,21911,64647,33415,35985,14997,7315,23693,18066,19855,18833,22909,5263,56464,9168,15575,28112,28367,39381,51128,12992,44742,5835,23501,62144,47297,53712,19419,3778,36022,19643,40895,28617,62925,64971,36805,28369,58318,30661,56772,51144,14535,58313,38071,24260,57029,23736,52682,64978,42175,2254,12501,13502,8398,23241,54463,41664,57816,60358,64720,13005,48336,30152,16596,33494,41939,18397,59338,17869,3284,62163,57059,61147,53211,59088,29408,3784,7368,59083,51135,59343,51678,26576,39631,14807,54985,21460,4570,1478,32966,46538,47310,60019,15497,12995,53962,56526,44227,36045,39893,30405,45259,23250,10182,54469,24008,11711,9174,49871,45776,30425,46294,32465,29396,14047,30431,64216,8671,43985,44247,47068,15274,27752,15690,42193,33494,53710,19654,1987,29047,50591,3011,0,2336,0,976,0,3905,3554,532,31019,3072,112
38797,53392,64655,64659,9365,404,38033,45457,11152,59793,49297,37523,8084,37009,51603,7060,5267,55185,17810,3221,54677,62613,31892,32405,21653,8087,6295,15767,47253,52887,48277,10132,42901,8855,63636,51092,42901,17555,51092,58516,14486,33429,14487,25238,22678,2968,1943,64662,59287,14488,60566,58517,31126,44694,56728,27285,23190,46485,23192,7574,49812,40085,42645,61844,43285,52368,41108,40341,28309,7316,6294,63125,16789,19862,25236,9622,11157,150,37013,28821,50326,16278,53653,21142,20630,45204,45717,18325,7573,48276,19607,20885,31892,40339,50323,22166,3223,49813,8597,56980,48279,21143,41622,4759,38039,26262,61076,46740,35989,28309,18325,60308,5013,6037,22165,40084,56211,33426,22164,19092,45459,36757,37012,51860,35732,45715,24211,49554,21140,10644,12184,6039,62102,47510,29846,1939,57491,51091,47507,44179,44180,3737,1429,37269,52117,49813,58516,57749,50075,13208,4754,145,44174,61072,38545,45965,18831,63373,26510,34445,9101,28813,31376,16784,42383,41620,30353,51858,53652,1426,12945,36754,16532,28816,36752,32913,35729,4751,656,28560,63378,35476,55955,17553,17812,51605,45715,17551,26770,29844,668,2707,46232,37012,16275,11924,403,25747,405,21908,25486,45711,43404,48013,48784,1424,32647,63629,15754,52366,1169,38030,42127,56461,22671,34703,7824,50579,43154,46225,26002,31635,26509,43924,24724,8344,21395,12439,57991,24967,27793,6037,64658,13965,6546,6543,7057,13949,61070,44688,64975,10199,31184,20431,40405,38840,8896,43718,8907,12237,50880,48321,51152,22491,61889,31158,12987,37311,28617,48845,58571,34757,35537,45774,25029,54724,50632,14791,43721,38583,9668,53957,18360,53962,60626,30911,64717,4053,12478,64717,15817,43711,44224,62680,50374,61136,2509,57296,21704,7892,29910,35795,17117,49866,20173,53715,2004,57571,52187,45787,59344,34784,55751,18376,53963,39871,54991,43742,27856,32463,11223,48841,22996,7386,55237,25286,40650,49102,50035,17545,63682,51146,59342,40131,31949,28117,34757,31435,25810,61637,53189,22472,4031,6358,37071,44752,17881,43222,31953,25812,3039,26591,985,61150,42961,35543,43484,10922,26472,12874,30161,32982,47822,18630,52162,24951,49824,3011,0,2336,0,976,0,3905,3554,660,31275,3072,112
41613,55952,7056,6548,13461,404,40081,53137,19856,63377,51601,44947,17556,46225,54931,16020,15251,1938,24210,6805,63893,9878,44436,39317,26517,16023,16279,23959,52373,56983,50325,11412,49813,16791,1941,50580,42133,24723,57748,62356,16790,40085,25751,33174,26006,7832,9367,10135,3480,20632,2455,3990,40342,50326,62872,34453,33430,54421,28824,12182,60564,50069,46741,6549,48149,55696,44692,48277,34709,14740,7830,662,26261,26006,29332,12182,18325,11926,44693,34709,56470,28310,65429,29078,25494,52628,53909,28821,11925,53652,31895,31381,39572,43923,56979,23702,3735,55189,17045,61332,50071,19095,52630,12439,42903,29334,4757,56724,44437,31893,22421,3221,16533,14485,26517,48788,1172,44690,29332,26516,53907,49301,42900,57492,40852,54419,26259,55954,28308,18068,12952,6039,2455,54166,34454,4499,64403,62099,56979,48275,48788,11673,12437,46229,58773,58005,4501,1942,56475,18840,12434,10897,53390,63888,47761,54413,29839,3214,28558,40589,9869,27789,37008,22928,45967,42900,34705,58770,61588,7314,16529,42898,27540,33168,41104,37521,46225,16271,7568,36752,5267,45716,65171,25233,23444,60565,54931,23695,32658,36756,3740,2963,52888,46740,20883,14228,179,32915,6549,26516,28558,52367,51340,55181,54672,6544,42631,9358,24714,57742,7313,48526,48271,63629,22927,42895,17040,56467,47506,52369,35730,42131,31117,51092,27540,12440,24723,18327,63879,30855,31377,10645,5779,19853,12690,13967,15505,19837,3727,52368,59087,13783,34512,20687,31445,39352,3264,58054,8907,11725,50880,56513,58832,17883,61377,34230,26043,42687,21961,44493,57291,41413,31953,42446,17861,4037,53192,12999,42697,36023,14276,44229,27064,55498,53970,29119,59341,15061,12222,62925,10185,53439,43712,64216,51142,59088,10957,58832,19656,64467,34262,41171,14557,54986,12237,62163,5332,55011,50395,51163,59344,34784,64455,15560,49867,37567,58831,51934,22224,34255,2007,57801,25300,1498,50629,22982,49098,45774,54899,8841,6083,60874,58062,37827,30669,30165,39365,36043,8914,3014,58053,21192,191,982,39375,43728,14041,48598,31441,22484,2783,22751,1753,479,37329,31703,53724,16554,28776,14154,29905,37590,55758,9926,56770,26999,50081,3011,0,2336,0,976,0,3905,3554,788,31531,3072,112
37773,58512,9872,4244,8341,1684,50065,59281,18576,64657,56721,52627,21140,39313,51091,17044,17811,60561,14482,4245,3222,10646,37012,35477,30613,24983,15767,17047,47509,61079,50581,17044,56981,16791,63380,46740,48021,26515,54676,59284,18582,49557,29335,29334,26262,15512,16535,7831,61591,16792,4759,1942,33174,43158,60824,37781,35734,49045,24984,15510,65428,48277,53909,10901,46869,55696,51348,55445,34709,9620,8598,7318,28565,24726,26516,17558,24213,11158,41621,33173,63638,33430,60565,21654,24982,55188,52373,20885,7317,54932,34455,26261,34452,41107,53651,23702,8599,60053,17045,59284,51351,27543,54422,11671,40087,32918,8853,58260,38549,28053,27285,5781,12693,7829,28821,54164,4500,39058,25492,28564,54419,44949,35732,52372,44180,53139,28051,59282,27284,11412,12440,13463,6551,54422,33686,11155,6804,148,54419,47251,55444,15513,8085,39573,55445,59285,6293,62613,52635,21400,17298,11665,49550,64144,46737,53389,23183,61837,36494,38029,10125,29325,39824,22160,42383,44948,41105,62610,59284,6290,19857,49298,27796,32656,41616,41105,48273,8847,63631,33168,7315,41876,59283,22161,25236,1942,55187,21903,31378,41620,2460,7827,56472,47252,18323,16788,515,36499,6293,24212,29326,57743,53900,52621,52368,7312,48775,7310,20874,58510,9873,47758,45711,55949,23695,46223,16528,51091,43666,54929,38802,40083,34445,50324,24980,12184,27795,23191,65415,31111,34705,16277,9875,18829,16274,15759,19345,19069,655,49552,6352,16087,38096,12751,28117,45496,17600,44998,63946,11725,58816,64705,48592,9179,54977,51894,11451,42431,12233,53965,5836,39621,28369,45518,35525,62148,52424,199,42185,53943,13508,454,26552,50890,48850,32703,11470,8661,1982,64717,26569,55999,40128,53976,44486,12241,11981,50640,8648,18132,30422,54227,64988,46538,22989,64723,63187,47075,63963,47579,7633,24032,456,11976,47307,47039,64719,52702,20176,26319,19671,56521,19156,62169,55237,27334,51914,43726,39539,26505,6083,1739,46798,40131,31437,42197,29637,23755,24786,62661,64197,14280,5055,64981,25807,50640,24025,50646,27089,16340,7647,34783,3033,52702,41681,40151,50908,9898,25704,9802,40657,38870,39118,19910,56002,39287,44450,3011,0,2336,0,976,0,3905,3554,404,31787,3072,112
30349,48784,64655,59027,63636,57235,39313,49297,10128,50577,44433,36243,1684,22929,33683,63123,147,42897,65169,49556,48789,58261,22932,17813,8341,2455,61334,60054,21653,30615,47253,9876,49045,6807,52372,39828,33429,16019,43412,44436,6806,37013,14743,20118,12694,63895,1431,58006,45719,62103,50326,49301,13974,21654,37528,14485,16022,32917,3224,55701,41620,27029,47509,2709,40981,47504,45716,45461,24981,59539,60821,57493,10133,9878,8596,150,7317,63637,28053,18837,47510,17302,46229,4502,2710,29844,33429,64916,50068,24980,10135,10133,16020,20115,43923,12694,663,51093,9365,52372,41623,29847,46230,2967,25751,16278,55188,41108,20117,9109,5781,56724,65172,60564,10133,34452,52371,21906,3220,2708,32659,22933,14484,25492,15508,29843,19347,49554,16788,1940,7320,663,62614,44182,22934,62866,61075,55187,39059,32659,33684,62360,58004,23189,33941,40085,52116,47765,35739,65431,63121,58512,32142,40848,20113,28813,1935,36749,29838,27277,397,26509,28560,11664,30607,30356,28305,49810,47508,58257,6289,33426,14740,18320,23696,23697,29073,58254,46735,9872,49554,23700,40595,401,5268,43925,35475,655,8338,14740,63387,3475,49560,39060,9875,5780,755,23699,59284,9364,15246,42127,39052,38029,34704,58511,31367,59277,5770,39566,55184,31118,27535,37773,655,19343,58767,31379,22674,29329,14226,19091,24717,44436,17044,4248,20371,14743,55687,20615,23185,3733,60562,3213,61841,62862,64400,4221,50830,34448,43983,23255,21712,17615,19669,33976,16064,44230,7371,57292,51136,42945,50384,64730,33985,33206,8635,41919,60872,44749,50891,35013,21713,30670,13765,49348,51144,47814,31433,21687,452,53957,16312,56010,39634,24511,57549,469,5310,41165,9417,41919,43968,39640,45254,58320,2765,43984,65223,3284,19926,41939,61148,36042,3277,47827,61651,27875,44507,32987,59856,16864,64711,15816,35531,33983,49359,56030,4304,21199,62678,48841,19668,45785,46277,10182,44234,45006,41075,5257,59074,63690,41934,23747,15565,28885,24261,18379,466,47813,54981,1736,59326,48853,28623,34000,11993,48854,17105,19156,56542,24543,61144,56030,23761,22487,50908,8362,27496,4682,31953,25814,40142,9158,40898,31863,39075,3011,0,2336,0,976,0,3905,3554,388,32043,3072,112
7565,18320,35983,37523,49300,40339,16017,27793,61327,39569,26513,13715,46995,10641,19603,41875,42642,31121,58769,44180,38293,48277,20628,14997,1941,53142,49558,54422,16789,20631,27285,49811,14997,42646,32660,16788,7061,50578,23956,32404,53909,14997,65174,9110,4246,46231,44182,41622,35223,52887,31894,31893,5270,15510,32408,6293,7318,28565,5528,51349,32148,20373,17557,43412,23317,29840,16020,16277,661,44947,37013,30101,55188,58005,62099,48789,54420,49557,20885,12693,29846,63637,32917,60309,56981,14484,17045,57492,44692,21908,919,4501,14996,20371,23443,57237,38806,24469,54420,37012,26007,22679,18326,45718,8599,60821,33684,18324,7573,64404,56980,39060,54932,54932,3733,21652,38547,13458,62867,56723,18323,11413,7828,20884,8084,22931,54418,17554,55443,49299,48279,42646,37782,28310,10134,46226,40851,35475,26515,17299,15508,40088,38804,10133,22933,25237,37268,37781,30363,58775,50833,48272,25742,33680,12177,18061,59022,33421,3470,7053,42124,21901,912,52623,11407,11156,5265,26514,32148,47249,58000,16018,63891,5264,9104,4497,12689,43918,38031,65423,36498,12436,34707,63632,63891,35989,27795,62606,4754,4756,41371,42386,21656,16276,56210,51091,371,63634,38804,59027,61837,19855,20620,26253,27024,44431,16519,46221,61833,28046,40848,14222,18319,27277,54670,7823,51087,25235,21138,22161,6802,14739,62860,18836,63123,48791,63122,56726,34951,903,1169,44180,38290,52876,47249,46478,47248,53116,39054,21648,37327,63190,9936,7631,11733,28088,54463,34758,61898,55756,33472,22465,35792,57562,42433,6326,65210,23743,61128,30669,39371,22981,9169,33998,59076,43716,32712,50374,22985,11191,64963,27845,440,42954,28882,14783,38093,57812,51901,45261,52936,35263,36288,39640,36550,39120,54988,34256,456,43731,9174,24275,53212,33482,53964,37331,49363,39395,29147,24795,40144,4064,46023,1480,37579,19903,31183,34270,57551,17615,46294,31433,3796,42713,31941,5318,30410,20942,45427,57224,47554,39370,41422,13507,6093,14293,7109,20427,52177,40389,38341,712,47038,48341,19151,20688,58072,34006,10193,7124,43998,12255,38104,53726,13521,9175,32476,8618,22376,10058,17361,14038,40654,60357,34754,14967,29860,3011,0,2336,0,976,0,3905,3554,644,32299,3072,112
